"time_utc","type","latitude","longitude","peak_current","ic_height","number_of_sensors"
"2023-03-01T00:09:15.933496290","0","-5.665188","-49.850613","-29280.0","0.0","18"
"2023-03-01T00:09:15.954052373","1","-5.648997","-49.845958","6974.0","3034.0","10"
"2023-03-01T00:09:16.033468553","0","-5.654027","-49.844631","-18910.0","0.0","17"
"2023-03-01T00:15:45.076454621","0","-5.658878","-49.883117","-11980.0","0.0","11"
"2023-03-01T00:51:52.666536715","1","-5.740877","-50.07436","-10649.0","6529.0","13"
"2023-03-01T00:51:52.687115870","0","-5.713337","-50.072871","-19700.0","0.0","19"
"2023-03-01T00:54:39.582082446","1","-5.688212","-50.113999","-37954.0","4403.0","22"
"2023-03-01T00:54:39.586944253","0","-5.712142","-50.085957","-77672.0","0.0","19"
"2023-03-01T00:54:39.670158036","0","-5.71071","-50.100286","-13577.0","0.0","14"
"2023-03-01T00:59:47.562211880","0","-5.71661","-50.078529","-19841.0","0.0","15"
"2023-03-01T00:59:47.564202982","0","-5.703672","-50.065784","7994.0","0.0","7"
"2023-03-01T00:59:47.762163653","0","-5.657063","-50.067865","-24512.0","0.0","21"
"2023-03-01T06:19:11.530174207","1","-5.636061","-50.50935","5642.0","9606.0","7"
"2023-03-01T06:19:11.530841035","1","-5.623845","-50.495688","-13814.0","10583.0","20"
"2023-03-01T06:21:10.699878129","0","-5.609823","-50.496626","-7656.0","0.0","12"
"2023-03-01T06:22:06.327223036","1","-5.611489","-50.499293","-4450.0","3008.0","9"
"2023-03-01T06:23:32.824821893","1","-5.515251","-50.690665","12744.0","3013.0","10"
"2023-03-01T06:23:32.825424513","1","-5.544686","-50.659439","6188.0","9241.0","12"
"2023-03-01T06:25:38.746126302","0","-5.63638","-50.540336","-15753.0","0.0","15"
"2023-03-01T06:29:01.881576500","0","-5.637879","-50.56703","-38584.0","0.0","13"
"2023-03-01T06:29:01.883185452","0","-5.69028","-50.534725","12025.0","0.0","13"
"2023-03-01T06:29:01.919827000","40","-5.6515","-50.4985","-8981.0","0.0","8"
"2023-03-01T06:33:47.321096896","0","-5.573018","-50.544408","-7618.0","0.0","17"
"2023-03-01T06:38:02.199587000","40","-4.9399","-48.9573","-28306.0","0.0","10"
"2023-03-01T06:42:00.306017669","1","-5.652753","-50.65102","-4514.0","19996.0","16"
"2023-03-01T06:46:08.744343045","0","-5.659428","-50.620495","-12448.0","0.0","16"
"2023-03-01T06:46:08.747450816","1","-5.646656","-50.609656","-6170.0","6763.0","20"
"2023-03-01T06:46:08.775875990","0","-5.664898","-50.620135","-13024.0","0.0","13"
"2023-03-01T06:49:14.932377841","1","-5.677017","-50.617637","4694.0","11013.0","8"
"2023-03-01T06:49:14.941846000","40","-5.7194","-50.5475","4771.0","0.0","7"
"2023-03-01T06:52:32.396510257","0","-4.917521","-49.000695","-7599.0","0.0","16"
"2023-03-01T07:32:12.226572070","1","-5.746547","-50.909142","12762.0","10859.0","12"
"2023-03-01T07:32:12.500111858","1","-5.749183","-50.862439","-2424.0","19937.0","6"
"2023-03-01T08:51:32.588773000","40","-5.8979","-48.8392","-26405.0","0.0","12"
"2023-03-01T08:51:32.590209484","1","-5.81932","-48.814359","9475.0","3017.0","12"
"2023-03-01T08:55:37.079387433","1","-5.859876","-48.793641","2119.0","3015.0","5"
"2023-03-01T08:55:37.082974200","1","-5.877036","-48.79379","2709.0","12061.0","7"
"2023-03-01T08:55:37.087296523","1","-5.868333","-48.778964","3915.0","3107.0","9"
"2023-03-01T08:56:08.807547931","1","-5.852941","-48.800743","2213.0","7162.0","8"
"2023-03-01T08:57:06.175500637","1","-5.909625","-48.813095","3146.0","5383.0","6"
"2023-03-01T08:57:06.179619633","1","-5.882803","-48.805362","2531.0","9920.0","7"
"2023-03-01T08:57:06.180938923","1","-5.883799","-48.805721","2126.0","6658.0","7"
"2023-03-01T08:57:06.191385248","1","-5.884042","-48.783843","2104.0","3256.0","5"
"2023-03-01T08:57:14.130030924","1","-5.863592","-48.795271","1849.0","4378.0","6"
"2023-03-01T08:57:14.138220739","1","-5.858505","-48.787459","-4940.0","3089.0","10"
"2023-03-01T08:57:14.381303198","0","-5.879439","-48.806168","-3548.0","0.0","7"
"2023-03-01T08:58:28.113435271","1","-5.888332","-48.856073","-4981.0","17368.0","10"
"2023-03-01T08:58:28.114462120","1","-5.85084","-48.817612","-7346.0","5992.0","11"
"2023-03-01T08:58:28.116753329","1","-5.852595","-48.8162","5025.0","16525.0","7"
"2023-03-01T08:58:28.262125236","1","-5.863193","-48.824614","2017.0","4973.0","5"
"2023-03-01T08:58:28.274786008","1","-5.899937","-48.834089","3207.0","6362.0","7"
"2023-03-01T08:58:28.293524658","1","-5.822035","-48.834269","4514.0","8297.0","13"
"2023-03-01T08:58:28.303392703","1","-5.918602","-48.827815","2729.0","3113.0","7"
"2023-03-01T08:58:28.495722567","1","-5.897345","-48.817941","-3889.0","6281.0","7"
"2023-03-01T08:58:28.502456892","0","-5.891018","-48.819709","-29978.0","0.0","28"
"2023-03-01T08:58:28.503137726","1","-5.822696","-48.808511","-7246.0","7087.0","18"
"2023-03-01T08:58:28.589695620","1","-5.894652","-48.825473","3617.0","3377.0","12"
"2023-03-01T08:58:28.607502279","0","-5.884464","-48.810181","-23671.0","0.0","22"
"2023-03-01T08:58:28.608302078","0","-5.909255","-48.868106","-9773.0","0.0","13"
"2023-03-01T08:58:28.865702185","0","-5.888662","-48.810404","-12459.0","0.0","18"
"2023-03-01T08:59:23.595156786","1","-5.869791","-48.816996","3160.0","8938.0","7"
"2023-03-01T08:59:23.598364733","1","-5.863863","-48.813899","3471.0","8721.0","7"
"2023-03-01T08:59:23.970194568","1","-5.896826","-48.798644","2356.0","6383.0","7"
"2023-03-01T08:59:23.971827507","1","-5.892236","-48.793834","6445.0","3317.0","12"
"2023-03-01T08:59:23.978204572","1","-5.886498","-48.79866","-6370.0","4319.0","12"
"2023-03-01T09:00:14.939735059","1","-5.903655","-48.807705","2520.0","18469.0","7"
"2023-03-01T09:00:14.943248753","1","-5.90862","-48.814552","3339.0","4026.0","10"
"2023-03-01T09:00:15.119642259","1","-5.886221","-48.822626","3606.0","9681.0","9"
"2023-03-01T09:01:06.360236383","1","-5.983464","-51.35723","4295.0","16732.0","8"
"2023-03-01T09:01:06.489230212","0","-6.015326","-51.342235","-7798.0","0.0","14"
"2023-03-01T09:01:17.097741025","1","-5.856215","-48.838101","7141.0","6870.0","12"
"2023-03-01T09:01:17.099085412","1","-5.85685","-48.838641","3547.0","15180.0","8"
"2023-03-01T09:01:17.102297195","1","-5.855038","-48.83638","5769.0","8105.0","9"
"2023-03-01T09:01:17.155981292","1","-5.846998","-48.837558","1851.0","4166.0","5"
"2023-03-01T09:01:17.549669397","1","-5.889808","-48.825352","3694.0","5679.0","8"
"2023-03-01T09:01:17.603688079","1","-5.875315","-48.777771","-2373.0","5757.0","8"
"2023-03-01T09:02:51.434292017","1","-5.992107","-51.362452","2522.0","11574.0","5"
"2023-03-01T09:03:07.593139964","0","-5.860453","-48.842074","18598.0","0.0","19"
"2023-03-01T09:03:07.596048210","0","-5.859059","-48.841869","6460.0","0.0","12"
"2023-03-01T09:03:07.727893609","0","-5.812145","-48.842801","-3375.0","0.0","7"
"2023-03-01T09:03:07.764174584","1","-5.866194","-48.835334","-5534.0","3003.0","10"
"2023-03-01T09:03:07.795622539","1","-5.775328","-48.849971","-5065.0","4565.0","16"
"2023-03-01T09:05:04.359140464","1","-5.865061","-48.858685","2644.0","14721.0","6"
"2023-03-01T09:05:04.359788521","0","-5.86494","-48.859563","15866.0","0.0","15"
"2023-03-01T09:05:04.513574728","1","-5.887995","-48.823132","-2288.0","11119.0","6"
"2023-03-01T09:07:18.119700016","1","-5.874934","-48.804462","4385.0","3030.0","8"
"2023-03-01T09:07:18.368195998","0","-5.827818","-48.868147","-32649.0","0.0","26"
"2023-03-01T09:07:18.482382145","0","-5.828145","-48.866833","-27208.0","0.0","21"
"2023-03-01T09:07:18.482841172","1","-5.873308","-48.843139","-5777.0","3001.0","8"
"2023-03-01T09:08:36.381592735","0","-5.703729","-48.963553","12343.0","0.0","15"
"2023-03-01T09:08:36.389270316","1","-5.752832","-48.901751","1573.0","3422.0","5"
"2023-03-01T09:08:36.418508082","0","-5.783503","-48.924457","-7223.0","0.0","14"
"2023-03-01T09:09:34.229865477","1","-5.916371","-48.815357","5145.0","5097.0","10"
"2023-03-01T09:09:34.233730127","1","-5.901855","-48.801564","2733.0","6499.0","5"
"2023-03-01T09:09:53.708408668","1","-5.804932","-48.812917","4866.0","4903.0","7"
"2023-03-01T09:12:03.195337980","1","-5.81448","-48.809007","-1564.0","8037.0","5"
"2023-03-01T09:12:03.416623206","1","-5.798032","-48.820846","-4641.0","6688.0","13"
"2023-03-01T09:12:49.217357540","0","-5.798464","-48.885223","-7276.0","0.0","20"
"2023-03-01T09:12:49.221675419","1","-5.80451","-48.911582","7652.0","9333.0","12"
"2023-03-01T09:12:49.239939504","1","-5.775482","-48.898116","2137.0","4823.0","5"
"2023-03-01T09:12:49.252468679","1","-5.663421","-49.009537","4803.0","10637.0","15"
"2023-03-01T09:12:49.399290287","0","-5.807482","-48.979238","-25768.0","0.0","18"
"2023-03-01T09:13:41.114880815","1","-5.755848","-48.862461","-4362.0","17055.0","7"
"2023-03-01T09:13:41.308808771","1","-5.867516","-48.820266","2620.0","3024.0","6"
"2023-03-01T09:14:30.165744500","1","-5.79091","-48.927339","14328.0","8647.0","14"
"2023-03-01T09:14:30.172025697","0","-5.798045","-48.945274","-85363.0","0.0","24"
"2023-03-01T09:14:30.620728352","0","-5.805243","-48.93453","-37582.0","0.0","20"
"2023-03-01T09:14:30.671375822","0","-5.797552","-48.930805","-4411.0","0.0","8"
"2023-03-01T09:14:30.688145166","0","-5.804523","-48.933728","-19859.0","0.0","21"
"2023-03-01T09:14:46.435878955","1","-5.821645","-48.831737","-1908.0","5543.0","5"
"2023-03-01T09:16:01.991336909","0","-5.796518","-48.832192","-15479.0","0.0","13"
"2023-03-01T09:16:01.994266006","0","-5.793792","-48.829819","-4289.0","0.0","14"
"2023-03-01T09:16:01.995537236","1","-5.785371","-48.823129","2101.0","16256.0","5"
"2023-03-01T09:16:01.997354504","1","-5.799185","-48.824396","2714.0","7957.0","8"
"2023-03-01T09:16:02.303956402","1","-5.870403","-48.864323","3185.0","4326.0","6"
"2023-03-01T09:16:02.304381340","1","-5.852665","-48.864936","-4501.0","6886.0","9"
"2023-03-01T09:16:02.399658316","0","-5.805915","-48.889675","-25339.0","0.0","26"
"2023-03-01T09:16:02.644195639","0","-5.808392","-48.89213","-28941.0","0.0","21"
"2023-03-01T09:18:45.609361739","1","-5.786326","-48.822992","4107.0","4405.0","10"
"2023-03-01T09:18:45.695638868","1","-5.871071","-48.801876","-2676.0","9959.0","8"
"2023-03-01T09:18:45.704834932","1","-5.876506","-48.805536","-2092.0","8670.0","7"
"2023-03-01T09:18:45.720800139","1","-5.837732","-48.848181","-4452.0","3358.0","7"
"2023-03-01T09:18:45.729104796","1","-5.909184","-48.808783","-3482.0","14535.0","9"
"2023-03-01T09:18:45.735852341","1","-5.903073","-48.808663","2107.0","18920.0","7"
"2023-03-01T09:18:45.761643169","1","-5.897757","-48.808945","-2395.0","6193.0","7"
"2023-03-01T09:18:45.815709451","1","-5.814886","-48.852388","-1669.0","6670.0","6"
"2023-03-01T09:18:45.830709540","0","-5.817118","-48.871796","3946.0","0.0","12"
"2023-03-01T09:18:45.908572881","1","-5.790166","-48.81962","3605.0","7392.0","8"
"2023-03-01T09:18:46.248350912","0","-5.830394","-48.804443","-72830.0","0.0","29"
"2023-03-01T09:18:46.249039609","0","-5.870518","-48.83281","17404.0","0.0","16"
"2023-03-01T09:18:46.326951515","0","-5.827598","-48.806322","-37758.0","0.0","32"
"2023-03-01T09:18:46.372072182","0","-5.829961","-48.802471","-12265.0","0.0","15"
"2023-03-01T09:18:46.373506454","1","-5.840042","-48.784705","-6219.0","16364.0","10"
"2023-03-01T09:18:46.478929431","0","-5.80255","-48.90445","-9439.0","0.0","16"
"2023-03-01T09:21:04.678805725","1","-5.791147","-48.950437","4973.0","15152.0","10"
"2023-03-01T09:21:04.687074517","1","-5.798774","-48.952718","7059.0","14988.0","14"
"2023-03-01T09:21:04.687716012","0","-5.796343","-48.954654","10215.0","0.0","21"
"2023-03-01T09:21:04.837029192","1","-5.788242","-48.91903","-4207.0","19595.0","8"
"2023-03-01T09:22:10.500729737","1","-5.800208","-48.933324","-4590.0","6300.0","10"
"2023-03-01T09:22:10.501813587","1","-5.720784","-48.893988","-25938.0","11145.0","17"
"2023-03-01T09:22:10.506229000","40","-5.7947","-48.9715","-118938.0","0.0","13"
"2023-03-01T09:22:10.569204500","0","-5.772863","-48.927813","-24629.0","0.0","22"
"2023-03-01T09:22:10.584773330","0","-5.781568","-48.929181","-8959.0","0.0","11"
"2023-03-01T09:23:18.144724925","1","-5.805051","-48.952651","12758.0","3853.0","21"
"2023-03-01T09:23:18.147434602","1","-5.809738","-48.954653","7180.0","6215.0","15"
"2023-03-01T09:23:18.151442818","1","-5.777611","-48.944459","1784.0","4922.0","6"
"2023-03-01T09:23:18.151931087","1","-5.807515","-48.95728","3916.0","8366.0","8"
