"time_utc","type","latitude","longitude","peak_current","ic_height"
"2023-01-01T00:18:21.076909670","0","-6.118327","-51.120701","-7195.0","0.0"
"2023-01-01T00:18:21.077675287","1","-6.111338","-51.14698","-8584.0","17153.0"
"2023-01-01T05:39:37.612316557","1","-5.634139","-50.638816","5482.0","12048.0"
"2023-01-01T05:39:37.734381618","0","-5.648238","-50.589472","-6683.0","0.0"
"2023-01-01T05:44:17.107091000","40","-5.4686","-50.8543","-4170.0","0.0"
"2023-01-01T05:44:17.154927581","0","-5.438636","-50.831424","-21532.0","0.0"
"2023-01-01T05:44:17.259067191","0","-5.428109","-50.778184","-13277.0","0.0"
"2023-01-01T05:45:12.616456326","1","-5.406892","-50.790014","-6127.0","3318.0"
"2023-01-01T05:46:03.047159369","0","-5.418595","-50.81921","-7214.0","0.0"
"2023-01-01T05:47:00.050183528","0","-5.393357","-50.794753","-5528.0","0.0"
"2023-01-01T05:47:25.481307535","1","-5.442385","-50.811522","-4512.0","15330.0"
"2023-01-01T05:48:13.089320679","0","-5.422346","-50.782806","-12560.0","0.0"
"2023-01-01T05:48:13.141774000","40","-5.4719","-50.8334","-14478.0","0.0"
"2023-01-01T05:48:13.265422809","0","-5.433673","-50.803448","-15181.0","0.0"
"2023-01-01T05:48:13.333996000","40","-5.5979","-50.8876","-15458.0","0.0"
"2023-01-01T05:49:13.678528410","1","-5.425462","-50.794946","-115242.0","14114.0"
"2023-01-01T05:49:13.829164289","0","-5.427183","-50.81399","-34029.0","0.0"
"2023-01-01T05:49:13.907845369","0","-5.429481","-50.811879","-25186.0","0.0"
"2023-01-01T05:50:13.749269452","1","-5.424441","-50.795932","7703.0","4945.0"
"2023-01-01T05:50:13.752648770","0","-5.421252","-50.79295","-4570.0","0.0"
"2023-01-01T05:50:51.783226560","1","-5.42367","-50.799525","8738.0","16777.0"
"2023-01-01T05:50:51.903413987","1","-5.416776","-50.807287","7891.0","3115.0"
"2023-01-01T05:50:51.947117582","1","-5.418706","-50.799441","-4916.0","10945.0"
"2023-01-01T05:51:58.236552564","1","-5.417175","-50.803714","13562.0","15026.0"
"2023-01-01T05:51:58.582219641","1","-5.425526","-50.823103","4816.0","5834.0"
"2023-01-01T05:52:35.721145000","40","-5.4258","-50.8517","5131.0","0.0"
"2023-01-01T05:52:35.983422773","0","-5.350614","-50.783681","8102.0","0.0"
"2023-01-01T05:53:09.489084333","0","-5.410809","-50.793701","9253.0","0.0"
"2023-01-01T05:53:17.555769568","0","-5.430009","-50.809173","-53638.0","0.0"
"2023-01-01T05:53:17.630877468","0","-5.409027","-50.813788","-30740.0","0.0"
"2023-01-01T05:53:17.672510403","0","-5.406799","-50.813018","-25775.0","0.0"
"2023-01-01T05:53:17.713890988","0","-5.40568","-50.815605","-21838.0","0.0"
"2023-01-01T05:53:17.759543741","0","-5.409284","-50.818288","-21832.0","0.0"
"2023-01-01T05:53:17.977479555","0","-5.405674","-50.793981","-23283.0","0.0"
"2023-01-01T05:53:18.133605583","0","-5.392644","-50.780316","-6094.0","0.0"
"2023-01-01T05:54:19.852209398","1","-5.405815","-50.800527","4621.0","15632.0"
"2023-01-01T05:54:34.699072090","1","-5.37289","-50.771445","5205.0","3021.0"
"2023-01-01T05:54:54.084998630","1","-5.432825","-50.833888","-6669.0","16098.0"
"2023-01-01T05:54:54.210868547","1","-5.466602","-50.833364","-4688.0","13182.0"
"2023-01-01T05:55:21.218229000","40","-5.2865","-50.7465","14848.0","0.0"
"2023-01-01T05:55:21.587028381","1","-5.392189","-50.789721","-5151.0","10616.0"
"2023-01-01T05:55:22.284914069","1","-5.4003","-50.800891","6384.0","18687.0"
"2023-01-01T05:57:28.227453687","1","-5.411811","-50.78823","-3722.0","17284.0"
"2023-01-01T05:57:28.301837929","1","-5.439091","-50.847893","-6393.0","6003.0"
"2023-01-01T05:57:47.119413066","1","-5.472944","-50.738952","-3496.0","6587.0"
"2023-01-01T05:58:49.171327123","0","-5.457993","-50.836876","-43780.0","0.0"
"2023-01-01T05:58:49.180850800","1","-5.484167","-50.811961","-4469.0","6878.0"
"2023-01-01T05:58:49.189831450","0","-5.436507","-50.85209","-12485.0","0.0"
"2023-01-01T05:58:49.212855480","0","-5.455349","-50.839515","-18482.0","0.0"
"2023-01-01T05:58:49.258657769","0","-5.459314","-50.844035","-26081.0","0.0"
"2023-01-01T05:58:49.280247429","0","-5.458423","-50.836952","-15696.0","0.0"
"2023-01-01T05:58:49.316399552","0","-5.475174","-50.834861","-10957.0","0.0"
"2023-01-01T05:59:51.673816552","0","-5.426695","-50.826169","4611.0","0.0"
"2023-01-01T06:00:31.964989000","40","-5.5039","-50.8855","-6317.0","0.0"
"2023-01-01T06:00:32.305146333","0","-5.496312","-50.901858","-5907.0","0.0"
"2023-01-01T06:01:49.980637742","1","-5.476558","-50.838354","-6607.0","3027.0"
"2023-01-01T06:02:57.304251000","40","-5.5148","-50.7987","-19301.0","0.0"
"2023-01-01T06:05:31.281836000","40","-5.4999","-50.8005","-5015.0","0.0"
"2023-01-01T06:05:31.315053588","1","-5.508207","-50.830866","-6441.0","11484.0"
"2023-01-01T06:06:30.280285771","1","-5.375857","-50.681447","-4901.0","12519.0"
"2023-01-01T06:06:30.285055977","1","-5.386367","-50.775111","-7572.0","13078.0"
"2023-01-01T06:06:30.288155245","1","-5.372515","-50.751882","-5860.0","15488.0"
"2023-01-01T06:07:57.860318011","1","-5.453569","-50.834556","-11130.0","7947.0"
"2023-01-01T06:07:58.182390000","40","-5.4498","-50.8284","-5777.0","0.0"
"2023-01-01T06:09:33.923724331","0","-5.459262","-50.715734","-14565.0","0.0"
"2023-01-01T06:09:34.378560257","0","-5.473134","-50.735426","-9893.0","0.0"
"2023-01-01T06:12:01.683970000","40","-5.5577","-50.8789","-6973.0","0.0"
"2023-01-01T06:12:01.702705908","1","-5.514116","-50.819317","-6624.0","14230.0"
"2023-01-01T06:12:02.074261513","0","-5.499278","-50.871144","-23647.0","0.0"
